"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"A16S|RequiresSNPConfirmation"	65029	22826	162212	5950	219536	202102	145742	22288	22917	4928	287	72232	3159	287383	85796	146014	60113	36327	14428	38078	102798	3510	8189	45019	55868	30147	159067	11255	17219	80031
"AAC2-PRIME"	118	52	1165	24	435	535	248	66	64	18	0	244	48	1924	86	196	94	98	34	62	300	20	14	88	90	56	1531	34	46	338
"AAC3"	580	425	6588	108	2317	3691	1312	272	412	92	22	2435	158	13126	653	1290	524	678	197	543	1282	40	68	618	672	359	2590	151	314	4041
"AAC3-PRIME"	2	4	0	2	38	2	16	0	0	0	0	4	0	6	8	16	2	10	2	0	30	2	4	6	8	8	92	0	6	3
"AAC6-PRIME"	1060	538	8217	130	3884	5015	2944	409	736	159	22	3451	312	15115	1108	2214	906	1147	340	1233	2523	74	152	932	1136	660	4245	256	354	4687
"ABAF"	10	8	6	0	32	28	24	4	4	0	0	10	0	46	6	74	8	4	0	8	32	0	2	12	8	8	22	4	2	4
"ABAQ"	10	4	40	0	34	20	26	4	6	0	0	16	0	38	10	26	6	12	0	2	0	0	8	2	18	6	20	0	0	8
"ABCA"	56	44	470	6	182	194	202	18	24	6	0	164	2	390	60	104	52	48	28	38	114	0	8	46	36	28	188	16	12	254
"ABEM"	10	0	0	0	38	73	18	4	2	0	0	20	0	10	10	28	6	4	0	0	6	0	0	6	10	0	8	2	4	4
"ABES"	12	0	0	0	20	4	4	6	4	0	0	0	0	18	8	14	0	4	0	0	16	0	2	2	0	6	22	0	0	2
"ABUO"	16	12	6	2	21	31	35	10	12	2	0	34	0	22	10	22	6	6	0	2	20	2	0	2	28	8	22	0	10	0
"ACC"	36	34	96	4	114	64	118	32	20	2	0	38	0	118	60	116	26	18	24	22	108	4	4	44	36	38	124	10	12	26
"ACI"	2	0	2	2	26	12	24	8	8	0	0	24	0	30	20	20	2	2	2	2	36	8	0	4	12	2	12	0	0	14
"ACN"	234	617	6014	62	1524	12004	1047	181	205	33	24	7031	626	46370	434	1088	478	1209	99	779	607	53	68	685	253	203	4806	241	236	14411
"ACR3"	24	10	0	0	8	20	32	0	0	0	0	6	0	12	14	32	20	2	0	4	12	0	0	22	10	14	8	0	2	8
"ACRA"	58	50	10415	4	156	76	78	69	16	4	6	118	4	150	60	169	54	50	12	36	74	8	8	74	51	48	157	4	14	86
"ACRB"	100	42	25204	10	393	343	409	91	106	6	12	368	20	511	175	373	68	69	71	126	256	10	19	228	171	66	565	63	34	145
"ACRC"	44	36	806	18	224	230	96	28	60	0	0	154	2	358	50	72	38	44	10	30	108	4	6	56	84	16	126	12	12	146
"ACRD"	172	145	31587	33	597	733	408	175	140	20	18	448	28	1164	303	481	169	152	44	240	393	17	27	253	179	72	750	70	84	501
"ACRE"	18	10	5394	13	34	38	72	29	14	10	0	88	2	34	26	103	10	13	2	29	31	4	2	45	32	8	96	2	12	44
"ACRF"	70	20	15076	12	271	138	249	81	30	6	6	201	6	229	111	245	52	50	10	57	167	2	13	168	77	51	407	20	46	52
"ACRR|RequiresSNPConfirmation"	62	14	5959	6	131	168	81	26	14	4	0	157	30	1525	22	62	16	18	8	16	58	2	6	45	48	10	120	8	6	210
"ACRS"	42	2	2380	0	44	16	85	21	4	11	0	45	0	8	26	93	6	15	2	13	48	0	6	38	52	26	58	6	8	12
"ACT"	260	110	908	20	910	778	692	198	190	30	12	564	40	1544	408	596	129	216	72	234	700	24	30	198	260	188	652	57	116	576
"ACTA"	60	22	204	16	274	232	150	20	52	8	0	178	2	480	62	302	46	48	14	38	98	16	4	64	20	40	146	8	38	102
"ACTP"	116	105	1931	30	756	965	453	80	115	29	0	481	9	1792	144	616	155	187	73	147	458	8	20	194	241	94	865	58	50	482
"ACTP1"	174	90	2185	21	469	1036	428	68	71	23	4	400	4	1279	126	344	152	158	32	104	302	20	18	144	142	48	841	50	48	897
"ACTPC"	194	102	2526	18	793	1162	522	86	122	16	4	518	30	2399	210	523	150	169	68	222	421	6	22	149	260	128	569	36	80	667
"ACTR"	20	2	0	2	59	110	62	8	4	0	0	74	0	92	56	64	12	2	6	32	24	0	2	10	34	8	36	12	0	34
"ACTS"	29	6	494	0	224	170	156	14	26	8	0	162	14	610	38	62	26	50	20	50	117	4	6	37	40	10	108	2	10	176
"ADC"	90	40	342	2	336	278	360	28	64	12	0	172	6	440	254	264	86	50	26	62	150	10	14	116	128	60	342	10	36	44
"ADEA"	4	0	14	4	54	12	36	0	0	2	0	28	0	10	6	28	4	8	0	2	16	0	0	2	4	0	14	0	4	12
"ADEB"	36	6	2	0	98	50	60	4	14	6	2	23	0	52	40	64	18	32	2	24	40	6	2	26	18	4	66	0	8	28
"ADEC"	24	8	96	0	44	28	60	0	6	2	0	22	0	34	16	26	8	12	2	4	10	0	2	22	14	18	16	2	0	8
"ADED"	4	0	18	2	42	30	14	2	0	0	0	4	0	24	12	24	4	12	2	4	12	0	0	4	2	8	28	0	2	16
"ADEE"	28	8	0	0	68	60	62	10	24	0	0	44	2	58	20	58	8	12	10	22	38	4	2	12	92	14	68	4	10	4
"ADEF"	6	0	62	0	44	6	18	2	12	0	0	4	0	12	4	32	2	6	4	10	8	0	2	10	2	2	18	0	4	6
"ADEG"	34	14	194	2	116	38	54	6	6	0	0	32	0	88	26	94	10	14	6	8	42	0	0	18	14	6	46	2	8	20
"ADEH"	14	10	0	0	30	24	54	2	0	6	0	14	0	74	38	16	12	18	2	0	16	0	0	18	12	14	42	0	0	2
"ADEI"	41	8	0	0	49	173	44	2	4	2	0	82	0	14	138	26	10	10	0	18	16	0	0	10	8	6	16	5	4	8
