"MEG_ID"	"Broadclass"	"Class"	"Mechanism"	"Gene"
"1"	"MEG_3545"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"LEN"
"2"	"MEG_2323"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"3"	"MEG_866"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"4"	"MEG_791"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"5"	"MEG_5587"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"6"	"MEG_4349"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"OQXB"
"7"	"MEG_3994"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S|RequiresSNPConfirmation"
"8"	"MEG_1412"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"9"	"MEG_3811"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFA"
"10"	"MEG_6199"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"11"	"MEG_7202"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETT"
"12"	"MEG_7549"	"Drugs"	"Glycopeptides"	"VanA-type_resistance_protein"	"VANXA"
"13"	"MEG_6209"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"14"	"MEG_1982"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"15"	"MEG_2603"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"DHA"
"16"	"MEG_1831"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"17"	"MEG_7706"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"VIM"
"18"	"MEG_7337"	"Drugs"	"Glycopeptides"	"VanA-type_resistance_protein"	"VANA"
"19"	"MEG_4748"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"20"	"MEG_1616"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATB|RequiresSNPConfirmation"
"21"	"MEG_749"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT2-DPRIME"
"22"	"MEG_2356"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"23"	"MEG_3991"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S|RequiresSNPConfirmation"
"24"	"MEG_626"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"25"	"MEG_1915"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"26"	"MEG_1997"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"27"	"MEG_2966"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"FOLP|RequiresSNPConfirmation"
"28"	"MEG_6376"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"29"	"MEG_1181"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"ASR"
"30"	"MEG_1410"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"31"	"MEG_2492"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRA"
"32"	"MEG_6122"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB|RequiresSNPConfirmation"
"33"	"MEG_69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC3-PRIME"
"34"	"MEG_908"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"35"	"MEG_1851"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"36"	"MEG_2152"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"37"	"MEG_2724"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"EMRB"
"38"	"MEG_4509"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"39"	"MEG_4429"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"40"	"MEG_234"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"41"	"MEG_1723"	"Drugs"	"Multi-drug_resistance"	"MDR_23S_ribosomal_RNA_methyltransferase"	"CIPA"
"42"	"MEG_2389"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"43"	"MEG_5811"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"PSE"
"44"	"MEG_5970"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRB"
"45"	"MEG_4668"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"46"	"MEG_5145"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"47"	"MEG_1586"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATA"
"48"	"MEG_3868"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERE"
"49"	"MEG_7441"	"Drugs"	"Glycopeptides"	"VanI-type_resistance_protein"	"VANI"
"50"	"MEG_918"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"51"	"MEG_6531"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_MFS_efflux_pump"	"SMFY"
"52"	"MEG_5879"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRB"
"53"	"MEG_814"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"54"	"MEG_1341"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"55"	"MEG_5446"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"56"	"MEG_1740"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"CMEB"
"57"	"MEG_7216"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETW"
"58"	"MEG_6942"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"59"	"MEG_2504"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRA"
"60"	"MEG_4635"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"61"	"MEG_2750"	"Drugs"	"MLS"	"Macrolide_esterases"	"EREA"
"62"	"MEG_7671"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"VEXD"
"63"	"MEG_2403"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"64"	"MEG_2405"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"65"	"MEG_3837"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERA"
"66"	"MEG_2080"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"COPY"
"67"	"MEG_6152"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"RUB"
"68"	"MEG_7291"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"TTGC"
"69"	"MEG_39"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC3"
"70"	"MEG_3778"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"MECA"
"71"	"MEG_5799"	"Multi-compound"	"Drug_and_metal_resistance"	"Drug_and_metal_MFS_efflux_pumps"	"PMRBM"
